Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1151324,,,创客总部,,https://data.cyzone.cn/capital/1151324.html,6,30,11,17,4,0.386131,0.412886,309.315811
1395301,,,湖南海捷投资有限公司,,https://data.cyzone.cn/capital/1395301.html,4,30,5,9,5,0.348945,0.36695,136.360272
1402306,,,壹诺创投,,https://data.cyzone.cn/capital/1402306.html,5,30,7,12,5,0.343284,0.365186,197.482365
1404031,,,海南控股,,https://data.cyzone.cn/capital/1404031.html,2,30,2,4,6,0.260591,0.269156,10.493026
1393506,,,海汇投资,,https://data.cyzone.cn/capital/1393506.html,7,30,4,11,4,0.381124,0.404064,543.08396
1402873,,,国药资本,,https://data.cyzone.cn/capital/1402873.html,8,30,5,13,4,0.40661,0.431317,69.561125
1394530,,,中国文化产业投资基金,,https://data.cyzone.cn/capital/1394530.html,10,30,4,14,4,0.399849,0.425646,165.451909
1394204,,,华闻传媒,,https://data.cyzone.cn/capital/1394204.html,2,30,4,6,5,0.315444,0.332735,164.256769
1393579,,,秉鸿资本,,https://data.cyzone.cn/capital/1393579.html,5,30,2,7,4,0.362081,0.382325,12.360457
1394744,,,伯乐纵横投资,,https://data.cyzone.cn/capital/1394744.html,6,30,6,12,4,0.38389,0.406427,16.419673
1397231,,,网易资本,,https://data.cyzone.cn/capital/1397231.html,6,29,4,10,5,0.388971,0.413485,34.696553
3008223,,,中国国新,,https://data.cyzone.cn/capital/3008223.html,1,29,8,9,5,0.345752,0.36528,72.200459
1395763,,,融玺创投,,https://data.cyzone.cn/capital/1395763.html,4,29,6,10,5,0.342173,0.359704,215.455012
1399552,,,北汽产投,,https://data.cyzone.cn/capital/1399552.html,6,29,6,12,4,0.386979,0.411311,222.912883
1159377,,,联想控股,,https://data.cyzone.cn/capital/1159377.html,2,29,7,9,5,0.374381,0.397101,20.235033
3536341,,,国投创新,,https://data.cyzone.cn/capital/3536341.html,6,29,5,11,5,0.358644,0.379679,41.311232
1393336,,,海达投资,,https://data.cyzone.cn/capital/1393336.html,7,29,6,13,4,0.389543,0.413831,98.162613
3275476,,,华软资本,,https://data.cyzone.cn/capital/3275476.html,6,29,4,10,5,0.390983,0.414209,43.604201
1393646,,,协立投资,,https://data.cyzone.cn/capital/1393646.html,7,29,6,13,4,0.380302,0.405009,105.742747
1397958,,,澎湃资本,,https://data.cyzone.cn/capital/1397958.html,2,29,3,5,5,0.352902,0.371172,0.691451
1394680,,,上海乐奕创业投资中心(有限合伙),,https://data.cyzone.cn/capital/1394680.html,1,29,2,3,5,0.314694,0.325866,0
1395573,,,知卓资本,,https://data.cyzone.cn/capital/1395573.html,3,29,5,8,5,0.359375,0.380939,64.965189
3012667,,,恒健投资,,https://data.cyzone.cn/capital/3012667.html,2,28,2,4,5,0.311727,0.323503,0
3233582,,,顺丰控股,,https://data.cyzone.cn/capital/3233582.html,6,28,5,11,4,0.391272,0.416352,58.722196
1394978,,,汉富控股,,https://data.cyzone.cn/capital/1394978.html,7,28,9,16,4,0.403509,0.431159,80.214755
1394514,,,汉能投资,,https://data.cyzone.cn/capital/1394514.html,11,28,9,20,4,0.420843,0.449275,626.983987
1394540,,,真顺基金,,https://data.cyzone.cn/capital/1394540.html,6,28,10,16,4,0.405054,0.43305,37.734382
1401709,,,天亿投资,,https://data.cyzone.cn/capital/1401709.html,2,28,5,7,5,0.341511,0.359515,18.126307
1131713,,,美团点评,,https://data.cyzone.cn/capital/1131713.html,12,28,6,18,4,0.40881,0.437618,154.442076
1394833,,,青锐创投,,https://data.cyzone.cn/capital/1394833.html,9,28,6,15,4,0.373324,0.398078,173.851936
1393432,,,集结号资本,,https://data.cyzone.cn/capital/1393432.html,15,28,10,25,5,0.40881,0.440044,377.407796
1395446,,,博将资本,,https://data.cyzone.cn/capital/1395446.html,6,28,11,17,4,0.396255,0.425331,112.64399
1395144,,,顺融资本,,https://data.cyzone.cn/capital/1395144.html,6,28,5,11,4,0.38085,0.404222,86.617029
1393610,,,星瀚资本,,https://data.cyzone.cn/capital/1393610.html,9,28,7,16,4,0.385288,0.413201,67.81313
1394664,,,礼来亚洲基金,,https://data.cyzone.cn/capital/1394664.html,13,28,9,22,5,0.418513,0.448393,133.730053
3235987,,,中国交建,,https://data.cyzone.cn/capital/3235987.html,2,28,5,7,5,0.316956,0.329994,60.332141
3536381,,,弘毅投资,,https://data.cyzone.cn/capital/3536381.html,8,28,10,18,4,0.406923,0.435413,248.978246
3536779,,,新希望集团,,https://data.cyzone.cn/capital/3536779.html,4,28,4,8,4,0.366852,0.386894,30.129726
3006521,,,抱团创投,,https://data.cyzone.cn/capital/3006521.html,3,27,7,10,5,0.358887,0.378135,23.119595
1399134,,,邦明资本,,https://data.cyzone.cn/capital/1399134.html,1,27,6,7,5,0.357432,0.374354,144.486908
1393642,,,君润资本,,https://data.cyzone.cn/capital/1393642.html,6,27,3,9,5,0.33187,0.348803,27.418733
1394520,,,北软天使基金,,https://data.cyzone.cn/capital/1394520.html,6,27,15,21,4,0.402281,0.433837,147.920199
3017450,,,普思资本,,https://data.cyzone.cn/capital/3017450.html,5,27,8,13,4,0.389831,0.414934,71.603103
1394679,,,暴龙投资,,https://data.cyzone.cn/capital/1394679.html,6,27,6,12,5,0.357191,0.376938,31.527504
1147672,,,华谊兄弟,,https://data.cyzone.cn/capital/1147672.html,7,27,8,15,4,0.376512,0.401229,92.411401
3536625,,,青山资本,,https://data.cyzone.cn/capital/3536625.html,3,27,9,12,4,0.383611,0.408633,16.669937
3222643,,,启迪控股,,https://data.cyzone.cn/capital/3222643.html,3,27,3,6,5,0.337803,0.352615,12.077902
1393505,,,陶石资本,,https://data.cyzone.cn/capital/1393505.html,5,27,3,8,5,0.326745,0.342281,325.73395
1402223,,,联新资本,,https://data.cyzone.cn/capital/1402223.html,11,27,6,17,4,0.394188,0.419502,198.675822
3236662,,,光大证券,,https://data.cyzone.cn/capital/3236662.html,14,27,9,23,4,0.389831,0.419502,185.657837
1137725,,,天天投,,https://data.cyzone.cn/capital/1137725.html,8,27,7,15,4,0.380029,0.405167,105.42405
1409337,,,凯辉基金,,https://data.cyzone.cn/capital/1409337.html,10,27,5,15,4,0.405364,0.432892,53.529623
1394183,,,合鲸资本,,https://data.cyzone.cn/capital/1394183.html,5,27,6,11,4,0.399245,0.424386,6.389862
1394575,,,之初创投,,https://data.cyzone.cn/capital/1394575.html,1,27,2,3,5,0.295696,0.30649,0
3102619,,,中科创客学院,,https://data.cyzone.cn/capital/3102619.html,2,27,1,3,6,0.255803,0.262067,0
1403262,,,长策投资,,https://data.cyzone.cn/capital/1403262.html,5,26,4,9,4,0.377857,0.399653,44.536532
1395394,,,荷多资本,,https://data.cyzone.cn/capital/1395394.html,16,26,8,24,4,0.418513,0.448488,205.417196
1406817,,,聚源资本,,https://data.cyzone.cn/capital/1406817.html,8,26,7,15,4,0.400151,0.425961,111.861924
3222750,,,协同创新,,https://data.cyzone.cn/capital/3222750.html,4,26,4,8,5,0.346204,0.363863,44.013038
